[Tue May 16 06:25:01.758797 2017] [mpm_prefork:notice] [pid 1267] AH00163: Apache/2.4.18 (Ubuntu) configured -- resuming normal operations
[Tue May 16 14:06:41.227619 2017] [:error] [pid 23715] [client 129.2.180.177:58319] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:05.858588 2017] [:error] [pid 23530] [client 129.2.180.177:58603] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:05.858618 2017] [:error] [pid 23530] [client 129.2.180.177:58603] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:05.858622 2017] [:error] [pid 23530] [client 129.2.180.177:58603] PHP Notice:  Undefined index: lid in /var/www/html/rateDB.php on line 16, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:05.858629 2017] [:error] [pid 23530] [client 129.2.180.177:58603] The uid is missing, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:05.933773 2017] [:error] [pid 23530] [client 129.2.180.177:58603] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:39.726174 2017] [:error] [pid 23725] [client 129.2.180.177:58900] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:39.726205 2017] [:error] [pid 23725] [client 129.2.180.177:58900] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:39.726209 2017] [:error] [pid 23725] [client 129.2.180.177:58900] PHP Notice:  Undefined index: lid in /var/www/html/rateDB.php on line 16, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:39.726216 2017] [:error] [pid 23725] [client 129.2.180.177:58900] The uid is missing, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:07:39.792123 2017] [:error] [pid 23725] [client 129.2.180.177:58900] PHP Notice:  Undefined index: user_id in /var/www/html/display_vid.php on line 45, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:08:10.979863 2017] [:error] [pid 23720] [client 129.2.180.177:59091] PHP Notice:  Undefined index: timezone in /var/www/html/rate-video.php on line 17, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:08:10.979889 2017] [:error] [pid 23720] [client 129.2.180.177:59091] PHP Notice:  Undefined index: user_id in /var/www/html/rateDB.php on line 14, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:08:10.979893 2017] [:error] [pid 23720] [client 129.2.180.177:59091] PHP Notice:  Undefined index: lid in /var/www/html/rateDB.php on line 16, referer: http://www.cyclingsafety.umd.edu/rate-video.html
[Tue May 16 14:08:10.979899 2017] [:error] [pid 23720] [client 129.2.180.177:59091] The uid is missing, referer: http://www.cyclingsafety.umd.edu/rate-video.html
