index_seg,ratio,URL
5286,0.2,2DKk4ih3fAQ
5287,0.4,qWrha_H2ZSU
5288,0.2,8vg9LRJCxJg
7773,0.2,8vg9LRJCxJg
5340,0.2,bSZCrw_oWLI
5367,0.2,cMtebm-lT8s
7774,0.2,cMtebm-lT8s
7775,1.0,cMtebm-lT8s
5452,0.9,tNYcrJX6WCA
5455,0.8,fW683JDWBEo
5457,0.4,kpqZ0Cio_tA
5458,0.9,YnsR8k3aV_o
7683,0.3,YnsR8k3aV_o
5501,0.5,Fd9PSorWan4
5616,0.1,iBOHTlnNxuQ
5617,0.2,iBOHTlnNxuQ
5757,1.0,iBOHTlnNxuQ
5666,1.0,3sbkpX83VTQ
5667,1.0,3sbkpX83VTQ
5668,0.2,3sbkpX83VTQ
5669,0.3,6ZIoCOQUEGk
5670,1.0,6ZIoCOQUEGk
5671,0.2,6ZIoCOQUEGk
5672,1.0,bTzHibGcE3M
5673,0.5,uKnQmPZ097w
5748,0.1,MK0yRgYtTxY
5749,0.2,rv3QZGtMLjg
5750,0.1,ZUPtSVq3zg4
5754,0.2,D-UQBIeV7d4
5755,0.3,D-UQBIeV7d4
5756,0.9,fWERqnb1STQ
5758,0.2,SgErs_-Fk80
5759,0.7,oFyYourrsXk
6000,0.2,gaTsDHU1i7M
9882,0.3,gaTsDHU1i7M
6001,0.2,mVpR-RPYpFs
6214,0.4,4u5l27jP8es
6215,0.4,J6qR8QtcYPI
6216,0.2,J6qR8QtcYPI
6217,0.2,oiIeY7F_Zsk
6218,0.5,fK-oR6H3xgs
6330,0.4,2GHYdqMliQ0
6331,0.4,2GHYdqMliQ0
6332,0.7,1cODzhEGh28
6333,0.7,m2NlwwHRVOU
7316,0.2,m2NlwwHRVOU
6340,0.4,J-znHnTnTa8
7313,0.4,J-znHnTnTa8
6939,0.1,s78P8fyEBxs
6940,0.5,S63XExDEslY
6941,0.3,S63XExDEslY
6942,0.3,W1MouAUlcPA
6943,0.2,Nz2rqidztgg
6944,1.0,5OVuYoTdrQY
6945,0.2,5OVuYoTdrQY
7010,0.5,qFbGPwZSHYQ
7011,0.4,YU3CqDQmKXw
7016,0.4,Vpms_YMmGi0
8310,0.5,Vpms_YMmGi0
8311,1.0,Vpms_YMmGi0
7312,0.5,YapmbAb6dQk
7317,0.3,uQtTgu1b5e4
7318,1.0,uQtTgu1b5e4
7319,0.3,coVvIDJt0nI
7320,0.2,vjR4N4l41CM
7321,1.0,vjR4N4l41CM
7322,0.2,vjR4N4l41CM
7573,0.4,aXseLCHseHQ
7574,0.2,PlYONwMRA8c
7592,0.4,ft48UqY-aFI
9297,0.3,ft48UqY-aFI
7593,0.5,Cr5CR6EnYXI
7594,0.1,3n4Z7JcR9vg
7646,0.5,3n4Z7JcR9vg
7647,0.5,iJJL8UhYmMg
7725,0.1,0eBNYhify4c
7726,0.3,-2IqdNGMrJs
7727,0.1,REHPCHk6Cag
7728,0.4,8--MQ2jfi-0
7729,1.0,8--MQ2jfi-0
8955,0.2,8--MQ2jfi-0
7769,1.0,Jto8felrToo
7770,1.0,N8xaEfUPd2A
7771,0.4,N8xaEfUPd2A
7772,0.9,37Ji8DnVS1k
7817,1.0,qKAlOws6sI4
7818,1.0,qKAlOws6sI4
7870,0.3,qKAlOws6sI4
7878,0.5,Hc_wZfeazVU
7879,0.5,Hc_wZfeazVU
7880,0.5,0iy7JLHbtbM
7881,0.2,dleeW74W3lo
7882,1.0,dleeW74W3lo
7883,0.3,dleeW74W3lo
8226,1.0,FCUuNXlY6AA
11287,1.0,FCUuNXlY6AA
8258,0.5,hl3NKwbGZYc
8259,1.0,Oc_RA79jWWY
8260,0.2,Oc_RA79jWWY
8288,0.9,PNlh0WxR5uo
8289,0.2,PNlh0WxR5uo
12265,0.2,PNlh0WxR5uo
8290,0.5,hrVwKTDsZ5A
8291,1.0,ZMxDN6MoR3Q
8312,1.0,Gol9iKzibIM
8345,1.0,G8zMDIoV9AE
8346,0.2,2wRHfd3Niv4
8347,0.3,2wRHfd3Niv4
8348,0.5,DZ2If6RGuv4
8349,0.3,DZ2If6RGuv4
8458,0.2,-FWXY0OxxIw
8952,0.4,ikkzoiQVbZo
8953,0.2,ikkzoiQVbZo
8954,1.0,cjlk6FyvNpQ
9298,0.5,TbuPgbDEm-I
9299,0.5,jmeidAW9cp4
9300,0.3,rnTvRICwxpU
9301,1.0,rnTvRICwxpU
9302,1.0,BH1zXBtZyCI
9303,0.2,BH1zXBtZyCI
9304,0.2,rztaKFxl778
9305,0.5,j8cOVL9A3m4
9306,0.4,gM23WatIN8A
9307,0.4,gM23WatIN8A
9473,0.2,8OeteZKnBy8
9878,0.4,8OeteZKnBy8
9879,0.5,8OeteZKnBy8
9474,0.4,0FJJFyZe6lg
9475,0.2,VDK9W3MFnk0
9476,0.5,gRSCPBxcFf8
9477,0.9,ej9GzV4KZSY
9603,0.3,ehIHKiMON10
9604,1.0,ehIHKiMON10
9605,0.4,ehIHKiMON10
9606,0.1,QnqjmVq8hfs
9750,0.4,-Wr04RbaIFo
9751,1.0,gVfNgIMG8yQ
9768,0.5,JaRymYe_y-4
9875,1.0,JaRymYe_y-4
9822,0.2,D0aEoZGlxt4
9855,0.5,7qE0cTh5Pig
9856,0.2,SkFpt-00S3Q
9857,1.0,IqtSDYvpzBs
9858,1.0,YckqSdXrhpU
9859,0.4,YckqSdXrhpU
9860,0.3,0RIhBurT13Y
9861,0.2,Waf6smnWHMk
9873,0.2,xuTPcAKNcMs
9874,0.5,Loy-WQG3sVU
9876,0.6,ARNtWz9q7As
9877,0.2,YQAhcKrVXR8
9880,0.3,10YbofY7VyQ
9881,1.0,gIjPXjNG9ks
10393,0.9,504Yj5cFNnQ
10394,0.4,ysEAgUlRJpQ
10395,0.4,kS7TxJ_f8K0
10396,0.2,kS7TxJ_f8K0
10403,0.3,sIUgvMSo4Ps
10448,0.3,BD_06RzzsEc
10449,0.5,ZyVuseILc0U
10450,0.5,fkbee5wg1EE
10451,0.3,fkbee5wg1EE
10452,0.4,v4ML7gXYKoA
10453,0.3,Lr3FxODpBoM
10454,0.4,wcJEEo_qk6o
10505,0.2,WqMa5gJWfi8
10595,0.2,-qSaEsnNfWI
10982,0.3,-qSaEsnNfWI
11288,0.3,ziAtT5dmO4c
11289,0.3,ziAtT5dmO4c
11484,0.3,0Bn9eL3djUs
11485,0.3,QM2-GBDI81Q
11886,0.4,QWIJUGl0dt4
11887,0.9,GAovF0jfl4g
11960,0.1,SX0NEmTGCEU
12047,0.5,b8q0Gu-5Zd0
12064,0.3,8rkYByXjccI
12065,0.4,ltYwq0n7gKE
12259,0.2,LTt6CPAWOLY
12260,1.0,LTt6CPAWOLY
12261,0.2,LTt6CPAWOLY
12262,1.0,pCYXD6DHtCc
12263,0.2,pCYXD6DHtCc
12264,0.5,ZSxRGmRVUQI
12453,0.1,EJZWo_rit6E
12847,0.2,EJZWo_rit6E
12848,0.3,EJZWo_rit6E
12566,0.2,_OSzrbhCqpE
12567,0.4,_OSzrbhCqpE
12942,0.1,_OSzrbhCqpE
12568,0.3,n51mRzXL7lQ
12849,0.3,bktOZxzns9Y
12898,0.2,LomoXasARKQ
13305,1.0,2ppy68HUTt8
13306,1.0,qo7LyFUOTRU
13435,0.4,L8jfax84cuo
13447,0.5,cGXESs_s0dk
13449,0.2,cGXESs_s0dk
