,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1386,1488,0,2,3,0,1,0,0,0,2,4,12
1387,1489,1,2,0,0,0,0,0,0,6,5,14
1388,1490,1,3,0,0,0,0,0,0,12,5,21
1389,1491,0,4,0,0,1,0,1,0,16,7,29
1390,1492,1,3,0,0,0,0,0,0,16,5,25
1391,1493,0,1,0,1,0,0,0,0,5,3,10
1392,1494,0,2,1,2,1,0,1,1,12,2,22
1393,1495,0,2,0,0,0,0,1,0,0,1,4
1394,1496,0,1,0,2,0,0,0,0,0,1,4
1395,1497,0,2,1,5,0,0,1,0,0,3,12
1396,1498,0,5,0,1,0,1,4,0,0,2,13
1397,1499,0,1,0,0,0,0,0,0,1,0,2
1398,1500,0,0,0,0,0,0,0,0,0,0,0
1399,1501,0,1,0,0,0,0,0,0,0,1,2
1400,1502,0,1,0,0,0,0,0,0,0,1,2
1401,1503,0,1,0,0,0,0,10,0,0,1,12
1402,1504,0,1,0,0,0,0,0,0,0,1,2
1403,1505,0,0,0,2,0,0,2,0,0,2,6
1404,1506,0,3,0,1,0,0,0,0,0,1,5
1405,1507,0,2,0,2,0,0,0,0,0,0,4
1406,1508,0,1,0,1,2,0,0,0,1,1,6
1407,1509,0,3,0,1,0,0,0,0,2,0,6
1408,1510,0,1,2,0,1,0,0,1,1,1,7
1409,1511,0,0,0,0,0,2,0,0,1,0,3
1410,1512,1,1,0,0,0,2,2,2,0,2,10
1411,1513,0,1,2,0,1,0,0,2,0,2,8
1412,1515,0,1,0,0,1,0,0,1,0,1,4
1413,1516,0,0,0,0,1,0,0,1,0,1,3
1414,1517,0,1,0,0,0,0,0,0,0,1,2
1415,1518,1,1,1,0,3,0,0,0,0,2,8
1416,1519,0,0,0,0,3,0,0,0,0,1,4
1417,1520,0,0,0,1,0,1,0,0,0,0,2
1418,1521,0,1,0,1,0,1,0,0,1,0,4
1419,1522,0,0,0,1,0,1,0,0,0,0,2
1420,1523,0,0,0,0,1,0,0,1,0,1,3
1421,1524,0,0,0,0,0,0,0,0,0,0,0
1422,1525,0,0,0,0,1,0,0,2,0,1,4
1423,1526,2,2,0,1,0,1,0,0,0,0,6
1424,1528,0,0,0,0,0,0,0,2,0,1,3
1425,1529,0,0,0,1,0,1,0,0,0,0,2
1426,1530,1,4,1,0,0,1,0,2,3,1,13
1427,1531,0,0,0,0,0,2,1,0,0,1,4
1428,1532,0,1,0,0,0,0,1,0,0,1,3
1429,1533,0,1,1,0,0,0,0,1,3,1,7
1430,1534,0,0,1,0,0,0,0,1,2,1,5
1431,1535,0,1,0,0,0,0,0,1,4,1,7
1432,1536,1,2,0,1,0,0,0,2,3,2,11
1433,1537,0,0,1,2,2,2,1,0,2,2,12
1434,1538,0,0,1,2,2,1,1,0,1,2,10
