,STREETSEGID,BIKELANE_COUNT,Bus/Bike Lane,Existing Bike Lane,Cycle Track,Shared Lane,Contraflow Bike Lane,Climbing Lane
35,277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,10565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,9936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,12470,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,11036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,9562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,11037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,5903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,9899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,13068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,3647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,5223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,5404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,12161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,13135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,10576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,869,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,12504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,10637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,7219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,8399,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,7181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,7742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
