index_seg,ftr_name_d_btw_cntr_SgAsEd,ud_bridge_SgAsEd,ud_btw_cntr_SgAsEd
72,269444.816589,,43461.1418974
73,1442765.91004,,309012.646175
74,163746.372193,,159943.887211
75,1497362.40902,,560587.74537
76,23500.4677889,,162631.124724
77,164366.00652,,127433.076
78,220402.782945,,264672.754471
79,221715.833898,,162409.545378
80,159628.969209,,303131.614065
81,621469.744291,,805016.655624
82,481082.256512,,540920.658609
83,696607.961996,,757754.399409
84,515053.524187,,580457.822001
85,33977.2676752,,57315.8139064
86,25544.453931,,32249.4687137
87,275112.737314,,310358.737905
88,93546.2995043,,108709.466648
89,226650.768577,,210152.675451
90,13911.3162718,,9533.34568556
91,89233.7888142,,17543.7334784
92,39828.6413336,,38001.4181364
93,1341931.88898,,599271.733302
94,267626.83675,,365756.328589
95,328022.279797,,484770.316784
96,115479.701057,,21127.8903603
97,39408.2423741,,35552.7550782
98,87265.4940814,,36203.5776254
99,67622.9744426,,50315.2982652
100,143576.283643,,49965.0147712
101,70649.3958668,,28024.0778861
102,211880.240605,,108434.202523
103,1263661.12241,,570850.884519
104,91440.4250005,,25437.6538061
105,109178.811925,,148777.209986
106,38156.1259202,,84211.2955523
107,14615.2417056,,25175.5013534
108,910077.781714,,1271120.50428
109,143364.433233,,39586.0157006
110,229206.275706,,78411.9559342
111,326486.674894,,34828.0737802
112,11306.1848809,,33373.2025056
113,2339.43890508,,51893.7264003
114,315186.490013,,42408.8274648
115,312853.051108,,96877.2877594
116,1206194.21863,,508880.489399
117,1028618.82949,,1445078.35847
118,28880.1073142,,169416.759677
119,6944.7506336,,571051.800586
120,61347.7474826,,535805.356278
121,14391.148475,,5951.71607011
122,33050.6633103,,116634.672369
123,60622.8409563,,6190.12639203
124,405605.501096,,710331.88399
125,99501.0434655,,86091.9227754
126,85103.8949905,,131442.627398
127,757808.10506,,1016969.72152
128,46349.4643464,,5994.1027064
129,769980.557186,,266838.53954
130,903612.416035,,1044971.93406
131,1016839.18398,,647540.437622
132,1121222.43468,,1001456.4614
133,854260.833232,,641458.34772
134,606495.30917,,311617.481385
135,330514.704087,,406192.093004
136,33813.4484709,,39758.5076964
137,37253.3603329,,23081.34729
138,39048.8501045,,14001.2589203
139,850727.970167,,737613.429204
140,1179559.20113,,864572.594352
141,2200702.72885,,247692.478329
142,1250563.50861,,808747.983177
143,380155.178349,,97450.7931535
144,2196980.50399,,421197.178291
145,802747.295921,,621013.365811
146,426873.292505,,56998.6718917
147,2243692.61815,,509914.088407
148,2402500.64434,,598672.638863
149,449145.322559,,226375.091635
150,14990.6276378,,266405.243859
151,501287.494471,,187938.93126
152,799223.165335,,1210740.52344
153,407599.423262,,102019.609463
154,1214635.96079,,906292.480247
155,1035692.31106,,835510.256217
156,630193.940173,,549187.716027
157,560592.065595,,690542.594052
158,357584.103332,,83810.068909
159,3022429.53627,,637508.686952
160,83271.9294111,,208305.157115
161,79242.714793,,219972.856478
162,37319.4285067,,354472.640453
163,185309.061868,,358676.964229
164,84031.396404,,454076.19354
165,233967.197348,,602922.615655
166,47353.8777722,,277164.335418
167,109250.472678,,39921.5841643
168,82636.8226795,,199438.311928
169,531983.799526,,596082.297557
170,88584.7505318,,41465.1970961
171,388176.778073,,614032.698916
172,131091.626494,,86108.3521204
173,93499.859845,,50430.9817706
174,186432.227645,,125129.92476
175,346800.990625,,840531.815137
176,2405778.44362,,906025.78961
177,2738529.61034,,1272192.25381
178,2491582.83007,,1150793.89548
179,59527.7216062,,69973.5555962
180,316960.897712,,355351.274593
181,1400445.24351,,681403.936673
182,2650094.87921,,1560051.06591
183,184396.509318,,346336.852181
184,196673.522582,,33311.5390815
185,2811548.44554,,902944.558564
186,50027.5767439,,269310.231774
187,2442049.35309,,126868.596858
188,7936.4069651,,53250.2170479
189,366078.591299,,66185.1736469
190,2411308.44492,,139487.539874
191,2129704.42137,,143707.007261
192,2227708.97349,,102641.807632
193,431925.708387,,112821.157641
194,350290.592273,,66583.4007467
195,106640.671368,,5980.5780722
196,566413.449448,,138377.199343
197,1371109.78276,,922833.28185
198,1302340.03865,,873292.657104
