,seg_index,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1075,1099,0,0,5,21,5,1,0,0,6,9,47
1076,1100,0,1,6,18,3,1,0,0,7,4,40
1077,1101,0,3,5,20,12,0,0,2,7,1,50
1078,1102,0,4,4,6,12,6,0,0,4,4,40
1079,1103,0,4,2,11,8,3,1,0,6,2,37
1080,1104,1,3,2,16,2,0,1,1,8,4,38
1081,1105,1,0,0,8,0,0,2,0,11,5,27
1082,1106,0,1,1,10,0,0,2,0,6,7,27
1083,1107,0,3,1,7,0,1,1,0,8,3,24
1084,1108,0,1,0,7,0,1,1,0,13,0,23
1085,1109,0,2,0,7,0,0,2,0,10,0,21
1086,1110,0,5,0,3,0,3,2,0,12,0,25
1087,1111,0,1,0,0,0,2,2,0,9,1,15
1088,1112,0,0,4,0,1,0,1,0,3,1,10
1089,1113,1,0,10,2,5,0,0,0,3,2,23
1090,1114,0,0,5,2,4,4,0,0,4,0,19
1091,1115,0,0,7,5,10,2,2,0,2,1,29
1092,1116,0,0,4,5,7,1,4,0,3,0,24
1093,1117,0,2,4,1,6,1,2,0,3,0,19
1094,1118,0,4,6,2,17,8,2,0,4,1,44
1095,1119,1,6,16,5,8,5,2,0,4,2,49
1096,1120,1,2,10,4,9,10,4,0,5,1,46
1097,1121,1,2,11,8,11,18,2,0,4,1,58
1098,1122,1,3,23,7,57,21,2,0,16,3,133
1099,1123,0,0,0,0,0,0,2,0,0,1,3
1100,1124,0,1,0,0,0,0,1,0,1,0,3
1101,1125,0,3,0,0,0,0,0,0,2,0,5
1102,1126,0,0,0,1,0,0,1,0,1,0,3
1103,1127,0,0,0,0,0,0,0,0,1,0,1
1104,1128,0,0,2,0,0,0,0,0,1,0,3
1105,1129,0,0,1,0,0,0,0,0,2,0,3
1106,1130,0,0,0,0,0,0,0,0,3,0,3
1107,1131,0,0,0,0,0,0,0,0,2,0,2
1108,1132,0,0,0,0,0,0,0,0,3,0,3
1109,1133,0,3,0,0,0,0,0,0,3,1,7
1110,1134,0,2,0,0,0,0,0,0,0,0,2
1111,1135,0,2,0,0,0,0,0,0,0,0,2
1112,1136,0,2,0,0,0,0,0,0,1,0,3
1113,1140,0,2,0,0,0,0,0,0,0,0,2
1114,1141,0,1,0,0,0,0,0,0,0,0,1
1115,1143,0,2,0,0,0,0,0,0,0,0,2
1116,1144,0,1,0,2,0,0,0,0,13,2,18
1117,1145,0,3,0,3,1,0,0,0,11,1,19
1118,1146,0,3,0,0,0,0,0,1,10,2,16
1119,1147,0,4,2,4,3,0,2,7,12,6,40
1120,1148,0,1,1,7,3,0,0,1,12,4,29
1121,1149,0,2,1,8,1,0,0,0,12,6,30
1122,1150,1,1,1,2,1,0,0,0,13,3,22
1123,1151,0,1,5,4,0,0,0,0,11,7,28
1124,1152,0,1,2,10,1,3,0,0,7,11,35
1125,1153,0,3,2,10,14,0,0,0,7,5,41
