pattern	cycle_lane	is_shared	cycle_way	side_walk	bikable	description
('highway=secondary', 'cycleway=lane', 'sidewalk=both', 'oneway=yes', 'lanes=2')	one			both		one way cycle lane (unknown side), two way sidewalk
('highway=cycleway', 'cycleway=lane', 'oneway=yes')			one			one way cycleway(separate from road)
('highway=secondary', 'cycleway:left=lane', 'cycleway:right=lane', 'oneway=no', 'lanes=2')	both					two way cycle lane
('highway=tertiary', 'cycleway:left=lane', 'cycleway:right=lane', 'lanes=2')	both					two way cycle lane
('highway=secondary', 'cycleway:left=lane', 'cycleway:right=lane', 'lanes=2')	both					two way cycle lane
('highway=secondary', 'cycleway:left=lane', 'cycleway:right=lane', 'lanes=3')	both					two way cycle lane
('highway=secondary', 'cycleway:left=lane', 'cycleway:right=lane', 'sidewalk=both', 'oneway=no', 'lanes=3')	both			both		two way cycle lane, two way sidewalk
('highway=tertiary', 'cycleway:left=lane', 'cycleway:right=lane', 'sidewalk=right', 'oneway=yes', 'lanes=2')	both			both		two way cycle lanes, two way sidewalk
('highway=tertiary', 'cycleway:left=lane', 'cycleway:right=lane', 'sidewalk=right', 'oneway=yes', 'lanes=1')	both			both		two way cycle lanes, two way sidewalk
('highway=motorway', 'bicycle=yes', 'foot=yes', 'oneway=yes', 'lanes=3')					yes	bikable motorway
('highway=motorway', 'bicycle=yes', 'foot=yes', 'oneway=yes', 'lanes=2')					yes	bikable motorway
('highway=motorway_link', 'bicycle=yes', 'foot=yes', 'oneway=yes', 'lanes=1')					yes	bikable motorway_link
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=2')					no	motor only
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=3')					no	motor only
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=4')					no	motor only
('highway=service', 'sidewalk=no')				no		no sidewalk
('highway=secondary', 'bicycle=yes', 'foot=yes', 'oneway=yes')					yes	bikable secondary
('highway=steps', 'bicycle=no')					no	no
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=1')					yes	bikable motorway
('highway=unclassified', 'sidewalk=no')				no		no sidewalk
('highway=motorway', 'bicycle=no', 'oneway=yes', 'lanes=3')					no	not bikable motorway
('highway=motorway_link', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=2')					no	not bikable motorway_link
('highway=residential', 'foot=no')					no	no foot residential
('highway=service', 'foot=no', 'oneway=yes')					no	no foot service
('highway=secondary', 'bicycle=yes', 'foot=yes', 'lanes=2')					yes	bikable secondary
('highway=tertiary_link', 'sidewalk=none', 'oneway=yes', 'lanes=1')				no		no sidewalk
('highway=tertiary', 'sidewalk=no', 'oneway=yes')				no		no sidewalk
('highway=tertiary', 'sidewalk=no')				no		no sidewalk
('highway=unclassified', 'bicycle=yes', 'sidewalk=no', 'oneway=yes')				no	yes	bikable, no sidewalk
('highway=steps', 'sidewalk=no')				no		no sidewalk
('highway=service', 'foot=no', 'oneway=no')					no	no foot
('highway=service', 'cycleway=no', 'bicycle=yes', 'foot=yes', 'sidewalk=none', 'oneway=no')					yes	bikable service
('highway=secondary', 'sidewalk=no', 'oneway=yes', 'lanes=2')				no		no sidewalk
('bicycle=no',)					no	not bikable
('highway=primary', 'foot=no', 'oneway=yes', 'lanes=2')					no	no foot
('highway=motorway_link', 'bicycle=no', 'oneway=yes', 'lanes=1')					no	not bikable motorway_link
('highway=motorway', 'bicycle=no', 'foot=no', 'oneway=yes', 'lanes=2')					no	not bikable motorway
('highway=motorway', 'foot=no', 'oneway=yes', 'lanes=2')					no	no foot
('highway=residential', 'cycleway=no', 'oneway=yes')					no	not bikable residential
('highway=motorway_link', 'sidewalk=no', 'oneway=yes', 'lanes=3')				no		no sidewalk
('highway=tertiary', 'foot=no', 'oneway=yes', 'lanes=1')					no	no foot
('highway=motorway', 'sidewalk=no', 'oneway=yes', 'lanes=3')				no		no sidewalk
('highway=path', 'bicycle=no', 'foot=no')					no	not bikable path
('highway=motorway', 'foot=no', 'oneway=yes', 'lanes=4')					no	no foot
('highway=trunk_link', 'foot=no', 'sidewalk=no', 'lanes=5')				no	no	no foot,no sidewalk
('highway=trunk', 'bicycle=no', 'foot=no', 'oneway=reversible', 'lanes=2')					no	not bikable
('highway=unclassified', 'bicycle=no', 'foot=no', 'lanes=4')					no	not bikable
('highway=unclassified', 'bicycle=yes')					yes	bikable
('highway=unclassified', 'bicycle=yes', 'sidewalk=no')				no	yes	bikable, no sidewalk
('highway=unclassified', 'foot=no')					no	no foot
('bicycle=yes', 'foot=yes')					yes	bikable
('bicycle=no', 'foot=destination')					no	not bikable
('highway=trunk', 'bicycle=no', 'foot=no', 'oneway=reversible', 'lanes=3')					no	not bikable
('highway=tertiary', 'sidewalk=none', 'oneway=yes', 'lanes=1')				no		no sidewalk
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=6')				no	no	not bikable, no sidewalk
('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'lanes=2')				no	no	not bikable, no sidewalk
('highway=tertiary', 'sidewalk=no', 'oneway=yes', 'lanes=1')				no		no sidewalk
('highway=track', 'bicycle=no')					no	not bikable track
('highway=tertiary_link', 'foot=no', 'sidewalk=no', 'lanes=2')				no	no	no foot,no sidewalk
('highway=residential', 'bicycle=designated', 'sidewalk=no')				no	yes	bikable, no sidewalk
('highway=secondary', 'foot=designated', 'oneway=yes', 'lanes=2')					yes	footable
('highway=residential', 'bicycle=designated', 'oneway=yes', 'lanes=1')					yes	bikable residential
('highway=secondary', 'foot=no', 'sidewalk=no', 'oneway=yes', 'lanes=2')				no	no	no foot,no sidewalk
('highway=residential', 'bicycle=designated', 'lanes=2')					yes	bikable residential
('highway=residential', 'bicycle=designated', 'foot=yes')					yes	bikable residential
('highway=residential', 'foot=yes', 'oneway=no', 'lanes=4')					yes	footable
('highway=residential', 'foot=private')					yes	footable
('highway=residential', 'sidewalk=no', 'oneway=no')				no		no sidewalk
('highway=residential', 'sidewalk=no', 'oneway=yes', 'lanes=2')				no		no sidewalk
('highway=residential', 'sidewalk=none', 'lanes=2')				no		no sidewalk
('highway=secondary', 'bicycle=yes', 'lanes=2')					yes	bikable secondary
('highway=service', 'foot=no', 'sidewalk=no')				no	no	no foot,no sidewalk
('highway=primary', 'foot=designated', 'oneway=yes', 'lanes=2')					yes	footable
('highway=service', 'foot=yes', 'oneway=no')					yes	footable
('highway=service', 'sidewalk=no', 'lanes=2')				no		no sidewalk
('highway=steps', 'bicycle=yes', 'sidewalk=no')				no	yes	bikable steps,no sidewalk
('highway=primary', 'foot=no', 'sidewalk=no', 'oneway=yes', 'lanes=2')				no	no	no foot,no sidewalk
('highway=steps', 'foot=permissive')					no	not bikable
('highway=tertiary', 'bicycle=designated', 'lanes=3')					yes	bikable tertiary
('highway=tertiary', 'bicycle=designated', 'lanes=4')					yes	bikable tertiary
('highway=tertiary', 'bicycle=yes', 'foot=yes')					yes	bikable tertiary
('highway=tertiary', 'bicycle=yes', 'foot=yes', 'oneway=yes', 'lanes=1')					yes	bikable tertiary
('highway=primary', 'foot=no', 'sidewalk=no')				no	no	no foot,no sidewalk
('highway=secondary_link', 'bicycle=yes', 'oneway=yes')					yes	bikable secondary_link
('highway=primary_link', 'foot=designated', 'oneway=yes', 'lanes=1')					yes	footable
('highway=primary', 'sidewalk=none', 'oneway=yes', 'lanes=3')				no		no sidewalk
('highway=secondary_link', 'bicycle=yes', 'oneway=-1')					yes	bikable secondary_link
('highway=secondary_link', 'foot=no', 'sidewalk=no', 'oneway=yes', 'lanes=1')				no	no	no foot,no sidewalk
('highway=service', 'cycleway=no', 'bicycle=yes', 'foot=yes', 'oneway=yes')					yes	bikable service
('highway=secondary_link', 'foot=yes', 'oneway=yes', 'lanes=1')					yes	footable
('highway=secondary_link', 'sidewalk=no', 'oneway=yes', 'lanes=1')				no		no sidewalk
('highway=service', 'bicycle=no', 'foot=no')					no	not bikable
('highway=primary', 'sidewalk=none', 'lanes=4')				no		no sidewalk
('highway=service', 'bicycle=private', 'foot=private', 'oneway=no')					yes	bikable service
('highway=service', 'bicycle=yes')					yes	bikable service
('highway=service', 'bicycle=yes', 'foot=yes', 'oneway=yes')					yes	bikable service
('highway=path',)					yes	bikable path
('highway=path', 'bicycle=yes', 'foot=yes')					yes	bikable path
('highway=path', 'bicycle=designated', 'foot=designated')					yes	bikable path
('highway=path', 'bicycle=yes')					yes	bikable path
('highway=path', 'foot=yes')					yes	footable
('highway=path', 'bicycle=yes', 'foot=yes', 'sidewalk=none')				no	yes	bikable path,no sidewalk
('highway=path', 'foot=no')					no	no foot
('highway=path', 'bicycle=yes', 'foot=yes', 'sidewalk=none', 'oneway=no')					yes	bikable path
('highway=path', 'bicycle=no', 'foot=yes')					no	not bikable path
('highway=path', 'bicycle=no')					no	not bikable path
('highway=pedestrian',)					yes	pedestrian
('highway=pedestrian', 'bicycle=yes')					yes	bikable pedestrian
('highway=pedestrian', 'oneway=no')					yes	pedestrian
('highway=pedestrian', 'foot=private')					yes	pedestrian
('highway=pedestrian', 'bicycle=yes', 'sidewalk=no')				no	yes	bikable pedestrian,no sidewalk
('highway=pedestrian', 'sidewalk=no')				no	yes	pedestrian,no sidewalk
('highway=pedestrian', 'bicycle=dismount', 'foot=yes')					no	not bikable pedestrian
('highway=pedestrian', 'bicycle=designated', 'foot=yes')					yes	bikable pedestrian
('highway=pedestrian', 'bicycle=yes', 'foot=yes')					yes	bikable pedestrian
('highway=pedestrian', 'bicycle=yes', 'sidewalk=yes')					yes	bikable pedestrian, both sidewalk
('highway=pedestrian', 'foot=yes', 'sidewalk=both')				both	yes	pedestrian, both sidewalk
('highway=primary', 'cycleway=no', 'bicycle=yes', 'lanes=8')					yes	bikable primary
('highway=residential', 'bicycle=designated')					yes	bikable residential
('highway=residential', 'bicycle=yes')					yes	bikable residential
('highway=residential', 'bicycle=designated', 'oneway=yes')					yes	bikable residential
('highway=residential', 'bicycle=yes', 'oneway=yes')					yes	bikable residential
('highway=residential', 'foot=yes')					yes	bikable residential
('highway=residential', 'bicycle=yes', 'foot=yes')					yes	bikable residential
('highway=tertiary', 'cycleway=opposite_lane', 'oneway:bicycle=no', 'oneway=yes', 'lanes=1')	both					two way cycle lanes
('highway=residential', 'oneway:bicycle=no', 'sidewalk=both', 'oneway=yes', 'lanes=1')	both	1		both		two way shared cycle lanes, two way sidewalk
('highway=service', 'bicycle=yes', 'foot=yes')					yes	bikable service
('highway=service', 'foot=yes')					yes	bikable service
('highway=service', 'bicycle=yes', 'foot=yes', 'oneway=no')					yes	bikable service
('highway=service', 'bicycle=yes', 'oneway=yes')					yes	bikable service
('highway=service', 'bicycle=private', 'foot=private')					yes	bikable service
('highway=service', 'foot=yes', 'oneway=yes')					yes	bikable service
('highway=secondary', 'cycleway=shared_lane', 'lanes=4')	both	1				two way shared cycle lanes
('highway=primary', 'bicycle=designated', 'lanes=2')					yes	bikable primary
('highway=primary', 'bicycle=yes', 'oneway=yes', 'lanes=2')					yes	bikable primary
('highway=tertiary', 'cycleway=shared_lane', 'lanes=4')	both					two way cycle lanes
('highway=tertiary', 'cycleway=shared_lane', 'oneway=yes', 'lanes=1')	one	1				one way shared cycle lane
('highway=tertiary', 'bicycle=yes', 'sidewalk=no', 'oneway=yes')	one	1				one way shared cycle lane
('highway=primary', 'bicycle=designated', 'oneway=yes', 'lanes=1')					yes	bikable primary
('highway=path', 'bicycle=yes', 'foot=yes', 'oneway=no')					yes	bikable path
('highway=construction', 'bicycle=yes', 'foot=yes')					yes	bikable construction
('highway=motorway', 'bicycle=yes', 'oneway=yes', 'lanes=3')					yes	bikable motorway
('highway=primary', 'bicycle=yes', 'foot=yes', 'lanes=5')					yes	bikable primary
('highway=tertiary', 'bicycle=yes', 'lanes=2')					yes	bikable tertiary
('highway=residential', 'cycleway=no', 'bicycle=yes', 'foot=yes', 'oneway=no', 'lanes=2')					yes	bikable residential
('highway=secondary', 'bicycle=designated', 'lanes=2')					yes	bikable secondary
('highway=tertiary', 'cycleway:right=shared_lane', 'lanes=2')	right	1				one way shared cycle lane right
('highway=residential', 'cycleway:right=shared_lane')	right	1				one way shared cycle lane right
('highway=secondary', 'cycleway:right=shared_lane', 'lanes=2')	right	1				one way shared cycle lane right
('highway=residential', 'cycleway=shared_lane', 'cycleway:right=shared_lane', 'oneway=no')	both	1				two way shared cycle lanes
('highway=secondary', 'cycleway=shared_lane', 'lanes=3')	both	1				two way shared cycle lanes
('highway=tertiary', 'cycleway=shared_lane', 'lanes=2')	both	1				two way shared cycle lanes
('highway=residential', 'cycleway:left=opposite_lane', 'cycleway:right=shared_lane', 'oneway=yes')	both	1				shared_lane_right, cycle lane left
('highway=residential', 'sidewalk=both')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'lanes=2')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'lanes=2')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'lanes=4')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=4')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'lanes=3')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'lanes=6')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'oneway=yes', 'lanes=1')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'lanes=4')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=2')				both		two way sidewalk
('highway=residential', 'sidewalk=both', 'oneway=yes', 'lanes=1')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'oneway=yes')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'lanes=6')				both		two way sidewalk
('highway=residential', 'sidewalk=yes')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'oneway=yes', 'lanes=2')				both		two way sidewalk
('highway=service', 'sidewalk=both')				both		two way sidewalk
('highway=secondary', 'sidewalk=both', 'oneway=yes', 'lanes=4')				both		two way sidewalk
('highway=tertiary', 'sidewalk=both', 'oneway=yes', 'lanes=3')				both		two way sidewalk
('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=4')				both		two way sidewalk
('highway=tertiary', 'bicycle=designated', 'lanes=2')					yes	bikable tertiary
('highway=primary', 'sidewalk=both', 'oneway=no', 'lanes=6')				both		two way sidewalk
