0,1,2
"('highway=path', 'bicycle=yes', 'foot=yes', 'sidewalk=none')",sidewalk,4
"('highway=tertiary', 'cycleway=lane', 'sidewalk=both', 'lanes=4')","L1b_2,sidewalk,L1a_1",4
"('highway=primary', 'bicycle=yes', 'foot=yes', 'lanes=6')",,4
"('highway=tertiary', 'bicycle=designated', 'sidewalk=both', 'oneway=no', 'lanes=4')",sidewalk,4
"('highway=path', 'bicycle=no')",,4
"('highway=steps', 'bicycle=no')",,4
"('highway=primary', 'sidewalk=right', 'oneway=yes', 'lanes=1')",sidewalk,4
"('highway=pedestrian', 'bicycle=yes')",pedestrian,4
"('highway=residential', 'bicycle=designated', 'oneway=yes')",,4
"('highway=secondary', 'sidewalk=right', 'lanes=2')",sidewalk,3
"('highway=service', 'bicycle=private', 'foot=private')",,3
"('highway=primary', 'sidewalk=yes', 'oneway=no', 'lanes=4')",sidewalk,3
"('highway=secondary', 'cycleway=lane', 'oneway=yes', 'lanes=3')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",3
"('highway=residential', 'cycleway:right=lane', 'oneway=yes')","M4_1,L2,M2a_1",3
"('highway=secondary', 'foot=designated', 'sidewalk=both', 'lanes=6')",sidewalk,3
"('highway=tertiary', 'cycleway:right=lane', 'sidewalk=both', 'lanes=3')","L2,sidewalk",3
"('highway=primary', 'sidewalk=both', 'oneway=yes', 'lanes=1')",sidewalk,3
"('highway=tertiary', 'cycleway=shared_lane', 'lanes=2')",,3
"('highway=cycleway', 'cycleway=track', 'foot=yes')",T1_3,3
"('highway=tertiary', 'sidewalk=yes', 'oneway=yes', 'lanes=1')",sidewalk,3
"('highway=tertiary', 'sidewalk=separate', 'oneway=yes', 'lanes=1')",sidewalk,3
"('highway=tertiary', 'sidewalk=left', 'oneway=yes', 'lanes=1')",sidewalk,3
"('highway=footway', 'oneway=yes')",foot,3
"('highway=footway', 'sidewalk=yes')","foot,sidewalk",3
"('highway=tertiary', 'sidewalk=both', 'oneway=no', 'lanes=2')",sidewalk,3
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=1')",sidewalk,3
"('highway=unclassified', 'sidewalk=no')",sidewalk,3
"('highway=motorway', 'bicycle=no', 'oneway=yes', 'lanes=3')",,3
"('highway=motorway', 'bicycle=yes', 'foot=yes', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk,3
"('highway=motorway_link', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=2')",sidewalk,3
"('highway=tertiary', 'foot=designated', 'oneway=yes', 'lanes=2')",,3
"('highway=primary', 'cycleway=lane', 'bicycle=yes', 'oneway=no', 'lanes=3')","L1b_2,L1a_1",3
"('highway=residential', 'foot=no')",,3
"('highway=service', 'foot=no', 'oneway=yes')",,3
"('highway=primary', 'cycleway=track', 'bicycle=yes', 'lanes=5')",T1_3,3
"('highway=service', 'foot=yes', 'oneway=yes')",,3
"('highway=primary', 'cycleway=lane', 'lanes=4')","L1b_2,L1a_1",3
"('highway=primary', 'cycleway=lane', 'lanes=3')","L1b_2,L1a_1",3
"('highway=residential', 'cycleway:left=opposite_lane', 'cycleway:right=shared_lane', 'oneway=yes')",,3
"('highway=primary', 'cycleway=lane', 'bicycle=yes', 'oneway=no', 'lanes=2')","L1b_2,L1a_1",3
"('highway=tertiary_link', 'sidewalk=both', 'oneway=yes', 'lanes=1')",sidewalk,3
"('highway=service', 'sidewalk=yes')",sidewalk,3
"('highway=secondary', 'cycleway:right=track', 'sidewalk=both', 'oneway=yes', 'lanes=4')","T4_3,T2_3,sidewalk",2
"('highway=residential', 'sidewalk=left', 'oneway=yes')",sidewalk,2
"('highway=residential', 'sidewalk=both', 'oneway=yes', 'lanes=3')",sidewalk,2
"('highway=secondary', 'cycleway:left=lane', 'cycleway:right=lane', 'oneway=no', 'lanes=2')","M4_3,L2,L1a_2",2
"('highway=unclassified', 'sidewalk=right', 'oneway=yes')",sidewalk,2
"('bicycle=no', 'foot=designated')",,2
"('highway=secondary', 'bicycle=yes', 'foot=yes', 'lanes=2')",,2
"('highway=unclassified', 'sidewalk=left')",sidewalk,2
"('highway=tertiary_link', 'sidewalk=none', 'oneway=yes', 'lanes=1')",sidewalk,2
"('highway=secondary', 'cycleway=lane', 'sidewalk=both', 'lanes=2')","L1b_2,sidewalk,L1a_1",2
"('highway=secondary', 'cycleway=shared_lane', 'lanes=4')",,2
"('highway=tertiary', 'sidewalk=separate', 'oneway=yes', 'lanes=2')",sidewalk,2
"('highway=tertiary', 'sidewalk=no', 'oneway=yes')",sidewalk,2
"('highway=tertiary', 'sidewalk=no')",sidewalk,2
"('highway=tertiary', 'sidewalk=left', 'lanes=2')",sidewalk,2
"('highway=trunk_link', 'foot=no', 'sidewalk=right', 'oneway=yes')",sidewalk,2
"('highway=trunk_link', 'foot=no', 'sidewalk=right', 'oneway=yes', 'lanes=1')",sidewalk,2
"('highway=unclassified', 'bicycle=yes', 'sidewalk=no', 'oneway=yes')",sidewalk,2
"('highway=tertiary', 'sidewalk=both', 'lanes=5')",sidewalk,2
"('highway=tertiary', 'cycleway=lane', 'sidewalk=right', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,sidewalk,L1a_1",2
"('highway=tertiary', 'cycleway=lane', 'sidewalk=both', 'oneway=yes', 'lanes=2')","M4_2,M2a_2,M2b_2,M2c,L1b_2,sidewalk,L1a_1",2
"('highway=unclassified', 'sidewalk=both')",sidewalk,2
"('highway=tertiary', 'cycleway:right=lane', 'sidewalk=both', 'lanes=2')","L2,sidewalk",2
"('highway=residential', 'sidewalk=both', 'oneway=no', 'lanes=2')",sidewalk,2
"('highway=tertiary', 'bicycle=yes', 'sidewalk=both', 'oneway=yes', 'lanes=4')",sidewalk,2
"('highway=steps', 'sidewalk=no')",sidewalk,2
"('highway=service', 'sidewalk=both', 'oneway=yes')",sidewalk,2
"('highway=service', 'foot=no', 'oneway=no')",,2
"('highway=service', 'foot=designated', 'sidewalk=left', 'lanes=3')",sidewalk,2
